20120101, 115.3
20120102, 147.8
20120103, 198.5
20120104, 508.4
20120105, 654.4
20120106, 979.0
20120107, 548.5
20120108, 526.6
20120109, 373.2
20120110, 369.1
20120111, 397.8
20120112, 399.6
20120113, 1054.2
20120114, 1037.9
20120115, 833.2
20120116, 429.4
20120117, 367.9
20120118, 199.5
20120119, 303.2
20120120, 563.7
20120121, 554.4
20120122, 837.1
20120123, 726.9
20120124, 285.9
20120125, 523.1
20120126, 329.2
20120127, 166.5
20120128, 219.0
20120129, 346.6
20120130, 342.6
20120131, 423.2
20120201, 439.2
20120202, 614.3
20120203, 654.4
20120204, 603.5
20120205, 194.1
20120206, 159.5
20120207, 199.0
20120208, 104.5
20120209, 149.7
20120210, 131.4
20120211, 206.8
20120212, 158.1
20120213, 191.8
20120214, 179.5
20120215, 739.8
20120216, 899.3
20120217, 371.2
20120218, 348.8
20120219, 185.4
20120220, 297.6
20120221, 235.1
20120222, 156.2
20120223, 328.2
20120224, 738.2
20120225, 983.2
20120226, 893.9
20120227, 847.3
20120228, 334.2
20120229, 950.8
20120301, 220.3
20120302, 572.3
20120303, 370.2
20120304, 280.0
20120305, 366.6
20120306, 548.4
20120307, 501.4
20120308, 286.8
20120309, 344.6
20120310, 260.5
20120311, 757.9
20120312, 634.0
20120313, 550.3
20120314, 948.1
20120315, 524.2
20120316, 202.9
20120317, 266.5
20120318, 645.2
20120319, 619.7
20120320, 378.4
20120321, 326.1
20120322, 326.4
20120323, 438.9
20120324, 453.1
20120325, 640.7
20120326, 664.9
20120327, 742.1
20120328, 812.8
20120329, 1487.8
20120330, 1506.4
20120331, 1560.7
20120401, 1151.2
20120402, 756.4
20120403, 555.9
20120404, 859.5
20120405, 706.5
20120406, 444.8
20120407, 642.6
20120408, 1240.5
20120409, 991.5
20120410, 600.2
20120411, 604.8
20120412, 581.4
20120413, 560.8
20120414, 567.8
20120415, 491.7
20120416, 607.3
20120417, 613.2
20120418, 539.7
20120419, 639.8
20120420, 702.9
20120421, 467.7
20120422, 655.9
20120423, 843.2
20120424, 1016.4
20120425, 817.4
20120426, 785.5
20120427, 609.1
20120428, 688.8
20120429, 887.3
20120430, 773.6
20120501, 968.4
20120502, 1041.3
20120503, 617.4
20120504, 665.7
20120505, 957.9
20120506, 942.3
20120507, 409.9
20120508, 640.2
20120509, 664.9
20120510, 813.8
20120511, 746.3
20120512, 746.2
20120513, 1246.0
20120514, 945.0
20120515, 458.7
20120516, 1109.2
20120517, 1341.1
20120518, 882.4
20120519, 747.4
20120520, 753.4
20120521, 980.3
20120522, 527.9
20120523, 839.3
20120524, 1124.6
20120525, 1483.3
20120526, 1226.3
20120527, 1124.0
20120528, 664.2
20120529, 477.2
20120530, 861.3
20120531, 958.0
20120601, 896.6
20120602, 313.7
20120603, 937.6
20120604, 801.4
20120605, 886.5
